id,name,category,status,description,deadline,instagram,keywords
23,고려다원,생활문화분과,상시모집,다양한 차를 체험하고 차 문화를 향유하는 다도 동아리,2026-12-31,@korea_dawon,다도;차문화;친목
24,기호회,생활문화분과,상시모집,(구 고대바둑사랑) 바둑을 매개로 기력 증진 및 친목 도모,2026-12-31,@kihohoe_ku,바둑;전략;친목
25,뇌의주름,생활문화분과,모집중,전략적 사고를 요하는 다양한 보드게임을 즐기는 동아리,2026-03-20,@brain_wrinkles_ku,보드게임;전략;친목
26,소믈리에,생활문화분과,상시모집,와인 테이스팅 및 문화 공유. 칵테일 및 주류 스터디,2026-12-31,@ku_sommelier,와인;주류;문화
27,유스호스텔,생활문화분과,모집중,국내외 여행 기획 및 문화 탐방 동아리,2026-03-25,@ku_youthhostel,여행;탐방;글로벌
28,커리손으로먹기연구회,생활문화분과,상시모집,인도 식사 문화를 비롯한 다양한 이색 문화를 공유하고 즐기는 모임,2026-12-31,@curry_ku,이색문화;음식;친목
29,한일문화연구회,생활문화분과,모집중,일본 문화 교류. 회지 발간 및 일본 대학과의 교류회,2026-03-15,@hanilyeon_ku,일본문화;교류;회지
30,호진회,생활문화분과,상시모집,영화/연극 감상 및 세미나 비평 활동,2026-12-31,@hojinhoe_ku,영화;연극;비평
31,KUDT,연행예술분과,모집중,고려대학교 중앙 댄스 동아리. 코레오 힙합 왁킹 등 다양한 장르,2026-03-10,@kudt_official,댄스;공연;스트릿
32,LoGS,연행예술분과,모집중,유일의 중앙 아카펠라 동아리. 정기 공연 및 연합 공연,2026-03-15,@logs_ku,아카펠라;보컬;공연
33,TERRA,연행예술분과,모집중,다양한 무대 예술과 창작 퍼포먼스를 선보이는 동아리,2026-03-20,@terra_ku,퍼포먼스;창작;공연
34,극예술연구회,연행예술분과,모집중,역사와 전통의 연극 동아리. 정기 워크샵 및 본공연,2026-03-18,@ku_drama,연극;연기;무대
35,미스디렉션,연행예술분과,상시모집,마술의 신비로움을 나누는 중앙 마술 동아리,2026-12-31,@missdirection_ku,마술;공연;취미
36,불아스,연행예술분과,모집중,라틴댄스 등 댄스스포츠를 배우고 공연하는 유일무이 중앙동아리,2026-03-10,@bulas_ku,댄스스포츠;라틴댄스;공연
37,소울메이트,연행예술분과,모집중,100% 창작 뮤지컬 기획 대본제작부터 무대 공연까지,2026-03-20,@soulmate_ku,뮤지컬;창작;연기
38,합창단,연행예술분과,상시모집,아름다운 하모니를 만들어가는 고려대학교 합창단,2026-12-31,@ku_choir,합창;음악;보컬
39,UNSA,인문과학분과,모집중,UN한국학생협회 소속. 모의 UN 및 국제기구 스터디,2026-03-15,@unsa_korea,UN;국제기구;토론
40,고란도란,인문과학분과,모집중,고려대학교 토론 동아리. 다양한 사회 이슈 논반 및 스터디,2026-03-20,@ku_gorandoran,토론;스피치;논리
41,리베르타스,인문과학분과,모집중,북한 인권과 통일 문제에 관심을 가진 남북 대학생 연합 학회,2026-03-25,@libertas_ku,북한인권;통일;세미나
42,사람과사람,인문과학분과,상시모집,성소수자 인권 신장 및 정서적 교류를 위한 인권 동아리,2026-12-31,@ku_people,인권;성소수자;교류
43,수레바퀴,인문과학분과,모집중,마르크스주의 등 정치경제학을 연구하며 사회과학적 식견 도모,2026-03-15,@surebakwi_ku,정치경제;사회과학;스터디
44,예술비평연구회,인문과학분과,모집중,1991년 창립. 문학 연극 영화 음악 등 예술 장르 비평 및 감상,2026-03-10,@yebiyeon_ku,예술;비평;감상
45,철학마을,인문과학분과,상시모집,서양 철학 및 동양 철학 고전 강독과 토론,2026-12-31,@philo_village,철학;고전;토론
46,한국근현대사연구회,인문과학분과,모집중,역사적 관점에서 한국근현대사 연구 및 학술 프로젝트,2026-03-20,@khistory_ku,역사;근현대사;학술
47,한국사회연구회,인문과학분과,모집중,한국 사회의 제반 현상을 학술적으로 연구하고 토론,2026-03-15,@ksociety_ku,사회학;연구;토론
48,호박회,인문과학분과,상시모집,책을 읽고 토론하며 지역 도서관 청소년 멘토링 봉사 연계,2026-12-31,@hobakhoe_ku,독서;토론;봉사
49,PAPcon,전시창작분과,모집중,유일 중앙 광고 동아리. 광고 마케팅 스터디 및 기업 협업,2026-03-10,@papcon_ku,광고;마케팅;기획
50,거의격월간몰라도되는데,전시창작분과,모집중,손글씨로 발행하는 엉뚱하고 풍자적인 학내 잡지 동아리,2026-03-20,@dontneedtoknow_ku,잡지;출판;창작
51,고대문학회,전시창작분과,모집중,1955년 창립 유일 문학 동아리. 세미나 및 합평회 운영,2026-03-15,@ku_literature,문학;글쓰기;비평
52,그림마당,전시창작분과,상시모집,일러스트 스터디 및 정기 회지 전시회를 진행하는 만화 동아리,2026-12-31,@grim_madang,만화;일러스트;그림
53,돌빛,전시창작분과,모집중,필름 카메라 및 디지털 사진 촬영과 전시회 개최,2026-03-10,@dolbit_ku,사진;전시;출사
54,서화회,전시창작분과,상시모집,1961년 창립. 서예와 서양화를 함께 배우고 정기미전 개최,2026-12-31,@seohwahoe_ku,서예;서양화;미술
55,캘리쿠,전시창작분과,모집중,캘리그라피 붓펜 작성 및 소품 제작. 아름다운 손글씨 전시,2026-03-25,@calliku_official,캘리그라피;손글씨;디자인
56,쿠리에이터,전시창작분과,모집중,영상 콘텐츠 기획/제작 및 유튜브 채널 운영 미디어 동아리,2026-03-15,@kureator_official,영상;유튜브;미디어
57,한국화회,전시창작분과,상시모집,화선지와 먹 붓을 이용한 한국화 연습 및 정기미전,2026-12-31,@koreapainting_ku,한국화;미술;전시
58,호영회,전시창작분과,모집중,고려대학교의 아름다움을 렌즈에 담는 영상/사진 예술,2026-03-18,@hoyoung_ku,사진;영상;예술
59,CCC,종교분과,상시모집,전국/세계적 초교파 선교단체. 순모임 및 수련회 활동,2026-12-31,@ku_ccc,기독교;선교;성경
60,ENM,종교분과,상시모집,캠퍼스 복음화와 제자 양육을 목표로 하는 선교 단체,2026-12-31,@ku_enm,기독교;선교;신앙
61,IVF,종교분과,모집중,한국기독학생회. 성경 공부 독서 모임 사회 참여적 신앙 고민,2026-03-10,@ku_ivf,기독교;신앙;공동체
62,JOY,종교분과,상시모집,예수님 이웃 나를 순서대로 두는 죠이선교회. 스케치북 강의,2026-12-31,@joy_korea,기독교;선교;모임
63,SFC,종교분과,모집중,학생신앙운동. 개혁주의 신앙 바탕 세계관 교육 및 수련회,2026-03-20,@ku_sfc,기독교;신앙;수련회
64,불교학생회,종교분과,상시모집,부처님 가르침을 배우고 정기 법회 및 템플스테이 봉사 진행,2026-12-31,@ku_buddhism,불교;템플스테이;명상
65,예수전도단,종교분과,모집중,하나님을 알고 알리자는 모토. 캠퍼스 예배 및 워십 전도,2026-03-15,@ywam_ku,기독교;워십;선교
66,원불교학생회,종교분과,상시모집,마음 쓰는 법 공부. 법회 문답 수행 및 방학 선방 활동,2026-12-31,@wonbuddhism_ku,원불교;수행;명상
67,젊은예수,종교분과,모집중,고려대학교 가톨릭학생회. 기도 모임 묵상 교리 공부 피정,2026-03-10,@young_jesus_ku,천주교;가톨릭;신앙
68,ENTHES,체육분과,모집중,격투기 무술 수련 및 체력 단련 동아리,2026-03-25,@enthes_ku,격투기;무술;운동
69,FC엘리제,체육분과,상시모집,아마추어 여자 축구 동아리. K리그 컵 등 외부 대회 참여,2026-12-31,@fcelise_ku,축구;여자축구;스포츠
70,KUBC,체육분과,모집중,볼링 실력 향상과 친목 도모 정기 교류전 진행,2026-03-15,@kubc_official,볼링;스포츠;친목
71,KUBOX,체육분과,상시모집,고려대학교 복싱 동아리. 스파링 미트 훈련 체력단련,2026-12-31,@kubox_ku,복싱;운동;스포츠
72,KUBT,체육분과,상시모집,자전거(사이클) 동아리. 정기 라이딩 타대학 연합 라이딩,2026-12-31,@kubt_korea,자전거;사이클;라이딩
73,KUTR,체육분과,모집중,트레일러닝 러닝 크루. 교내외 마라톤 참여 및 정기 런,2026-03-10,@kutr_running,러닝;마라톤;운동
74,KULAX,체육분과,모집중,여자 라크로스 동아리. 인도어 리그 참가 및 팀워크 훈련,2026-03-20,@kulax_ku,라크로스;스포츠;운동
75,KUTIME,체육분과,모집중,여자 농구 동아리. 정기 연습 교류전 및 대학 농구 대회 참가,2026-03-15,@kutime_ku,농구;여자농구;스포츠
76,궁도회,체육분과,상시모집,전통 활 국궁 수련 심신단련 및 타 대학 교류,2026-12-31,@ku_archery,국궁;전통;운동
77,농구연구회,체육분과,모집중,체계적인 농구 훈련과 전술 연구 경기 출전 동아리,2026-03-10,@ku_basketball_res,농구;스포츠;경기
78,백구회,체육분과,모집중,중앙 배구 동아리. 끈끈한 조직력 바탕 각종 배구 대회 출전,2026-03-15,@baekgu_ku,배구;스포츠;경기
79,수호회,체육분과,상시모집,유일 중앙 수영 동아리. 야간 훈련 주말 정기훈련 교류전,2026-12-31,@suho_ku,수영;스포츠;수영대회
80,아마추어축구부,체육분과,모집중,남학생 아마추어 축구부. 정기 훈련 및 대학 아마추어 리그 참여,2026-03-10,@amassocc_ku,축구;스포츠;운동
81,탁구사랑회,체육분과,상시모집,탁구 실력 향상 친목 도모 대학 동호인 연맹배 참가,2026-12-31,@tt_love_ku,탁구;스포츠;운동
82,택견한울,체육분과,모집중,한국 전통 무예 택견 수련 및 시연 행사 참여,2026-03-20,@taekkyon_ku,택견;무술;전통
83,팬케이KU,체육분과,상시모집,누구나 즐겁게 참여하는 배구 동아리 정기 훈련 화합 도모,2026-12-31,@pancake_ku,배구;친목;스포츠
84,한량회,체육분과,상시모집,전통 활쏘기 국궁 서울권 연합회 소속 활발한 교류,2026-12-31,@hanryang_ku,국궁;전통;친목
85,ALC,학술연구분과,모집중,1973년 창립 아프칸 청취 영어 토론 및 문화 학습 스터디,2026-03-10,@alc_ku,영어;토론;어학
86,ECS,학술연구분과,상시모집,영어 회화 및 프리토킹 소규모 스터디 그룹,2026-12-31,@ecs_korea,영어회화;스터디;어학
87,KUCC,학술연구분과,모집중,컴퓨터 및 코딩 프로그래밍 스터디 웹 앱 개발 프로젝트,2026-03-15,@kucc_official,코딩;개발;프로그래밍
88,NewLearn,학술연구분과,모집중,유일 뇌과학 학회 논문 발표 및 뇌과학 토론 세션,2026-03-20,@newlearn_ku,뇌과학;학회;연구
89,열두루달,학술연구분과,모집중,생태연구 동아리. 근교 탐사 및 생태 자료 기록 공유,2026-03-25,@12months_ku,생태;탐사;환경
